2025 CC Election,,,,,,,,,,,,,,,,,,,
Name,Cardano Atlantic Council,Tingvard,Eastern Cardano Council,KtorZ,Ace Alliance,Cardano Japan Council,phil_uplc,Adara Consortium,Cardano Constitutional Consortium,Wanchain,SIDAN Lab,STORM Partners,Cardano Ethical Oversight (CEO),Cardano Lover,Quality of Life World Foundation,Kevin G Mohr,Emurgone,Waldo,FutureProduct LLC dba Futurism Products
Number of votes Votes,85,53,68,56,75,61,65,38,45,20,24,17,5,2,3,3,1,1,0
Voting Power (Ada),"2,437,091,844","2,038,104,314","1,790,636,843","1,706,293,942","1,633,525,358","1,625,533,719","1,616,883,528","1,474,973,215","969,126,576","836,685,545","303,866,949","237,044,646","70,337,853","63,659,593","42,920,173","1,359,715","239,224","131,118",0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2025 Snap Election,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Cardano Curia:1,788,063,460 ADA (51.0%)",,,,,,,,,,,,,,,,,,,
Total Votes:37 (39.8%),,,,,,,,,,,,,,,,,,,
"Christina Gianelloni (musikc):1,639,529,772 ADA (46.8%)",,,,,,,,,,,,,,,,,,,
Total Votes:44 (47.3%),,,,,,,,,,,,,,,,,,,
"Phoenix Alliance:72,678,283 ADA (2.1%)",,,,,,,,,,,,,,,,,,,
Total Votes:10 (10.8%),,,,,,,,,,,,,,,,,,,
"Ahmed Oladele:6,436,989 ADA (0.2%)",,,,,,,,,,,,,,,,,,,
Total Votes:2 (2.2%),,,,,,,,,,,,,,,,,,,
Kevin Mohr:0 ADA (0.0%),,,,,,,,,,,,,,,,,,,
Total Votes:0 (0.0%),,,,,,,,,,,,,,,,,,,